,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,0.9983048803841326,0.0234933605720122,1.0,0.9983048112506628,0.9991524056253314,0.1531454697060493,0.0459081836327345
hmmsearch_out_C_1_swissprot.domtblout,0.9983474356882964,0.0240837696335078,1.0,0.998347368290395,0.9991736841451976,0.1550611751281561,0.0470347648261758
hmmsearch_out_C_3_denoised1_uniref90.domtblout,0.9980371365954338,0.0203539823008849,1.0,0.9980370565423468,0.9990185282711734,0.1425272906656484,0.0398959236773634
hmmsearch_out_C_3_uniref90.domtblout,0.9980725993489038,0.0207207207207207,1.0,0.9980725207421238,0.999036260371062,0.1438081428894876,0.0406001765225066
hmmsearch_out_C_4_denoised1_uniref90.domtblout,0.998476874738462,0.0260770975056689,1.0,0.9984768126195808,0.9992384063097904,0.1613610151177487,0.0508287292817679
hmmsearch_out_C_4_uniref90.domtblout,0.9984786478761356,0.0261066969353007,1.0,0.9984785858295696,0.9992392929147847,0.1614527108370754,0.0508849557522123
HMM_reference_search.domtblout,0.9976062641407728,0.0167516387472687,1.0,0.9976061665150572,0.9988030832575284,0.1292731144264262,0.0329512893982808
hmmsearch_out_M_1.domtblout,0.9984272268836042,0.0252747252747252,1.0,0.9984271627398932,0.9992135813699464,0.1588551926915649,0.0493033226152197
hmmsearch_out_M_4_denoised1_uniref90.domtblout,0.9985921286872398,0.0281517747858017,1.0,0.998592071268856,0.999296035634428,0.1676667501123824,0.0547619047619047
hmmsearch_out_M_4_uniref90.domtblout,0.9986204988900158,0.0287141073657927,1.0,0.9986204426286774,0.9993102213143388,0.1693354499427551,0.0558252427184466
hmmsearch_out_O_1.domtblout,0.9983988566808282,0.0248380129589632,1.0,0.9983987913800716,0.9991993956900358,0.1574745761020219,0.0484720758693361
hmmsearch_out_O_4_denoised1_uniref90.domtblout,0.9984343194342982,0.0253863134657836,1.0,0.9984342555798486,0.9992171277899242,0.159206045699045,0.0495156081808396
hmmsearch_out_O_4_uniref90.domtblout,0.9984538239487066,0.0256983240223463,1.0,0.9984537608897258,0.999226880444863,0.1601829837051193,0.0501089324618736
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,0.9997588532764038,0.1401273885350318,0.9565217391304348,0.9997606166515056,0.9781411778909704,0.3660596305595816,0.2444444444444444
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,0.9990832878227998,0.0425925925925925,1.0,0.9990832504357664,0.9995416252178831,0.2062851081680249,0.0817051509769094
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,0.998875830715,0.0350076103500761,1.0,0.9988757848670712,0.9994378924335356,0.1869980060448583,0.0676470588235294
out_psiblast_C_1_swissprot_1iterations.xml,0.9998173668196292,0.1774193548387097,0.9565217391304348,0.9998191325811376,0.9781704358557862,0.4119122289614729,0.2993197278911564
out_psiblast_C_1_swissprot_2iterations.xml,0.9991311625399842,0.0448343079922027,1.0,0.9991311271054653,0.9995655635527326,0.2116491263323406,0.085820895522388
out_psiblast_C_1_swissprot_3iterations.xml,0.9989768995623896,0.0383333333333333,1.0,0.9989768578364356,0.9994884289182178,0.1956888164503277,0.0738362760834671
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,0.9995283453788486,0.0766550522648083,0.9565217391304348,0.9995300993529556,0.9780259192416952,0.2707111146077336,0.1419354838709677
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_C_4_uniref90_1iterations.xml,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_M_1.xml,0.9995620349946452,0.0851851851851851,1.0,0.9995620171327548,0.9997810085663774,0.2918010889861979,0.1569965870307167
out_psiblast_M_3_uniref90_1iterations.xml,0.9998226862326498,0.1818181818181818,0.9565217391304348,0.9998244522111042,0.9781730956707696,0.4169885245436662,0.3055555555555556
out_psiblast_M_3_uniref90_2iterations.xml,0.9991258431269636,0.0428015564202334,0.9565217391304348,0.9991275806854876,0.9778246599079612,0.202241395951683,0.0819366852886405
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,0.9998811997758754,0.25,0.9565217391304348,0.9998829681407362,0.9782023536355856,0.4889779961469861,0.3963963963963964
out_psiblast_M_4_uniref90_1iterations.xml,0.99989361173959,0.2716049382716049,0.9565217391304348,0.999895380610658,0.9782085598705464,0.5096723620781863,0.4230769230769231
out_psiblast_O_1.xml,0.9997322562113012,0.132183908045977,1.0,0.999732245291684,0.999866122645842,0.3635223723269781,0.233502538071066
out_psiblast_O_3_uniref90_1iterations.xml,0.9996028171611356,0.0897959183673469,0.9565217391304348,0.9996045741724872,0.978063156651461,0.2930094611063365,0.1641791044776119
out_psiblast_O_3_uniref90_2iterations.xml,0.9989786727000632,0.0368509212730318,0.9565217391304348,0.9989804042564132,0.977751071693424,0.187641781674437,0.0709677419354838
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,0.9996294142262382,0.0956521739130434,0.9565217391304348,0.99963117232232,0.9780764557263774,0.3024176061199045,0.1739130434782608
out_psiblast_O_4_uniref90_1iterations.xml,0.9996382799146056,0.0977777777777777,0.9565217391304348,0.999640038372264,0.9780808887513496,0.3057608178251944,0.1774193548387097
