,n_hits,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,379,0.9993687629882334,0.06068601583113457,1.0,0.9993687372439707,0.9996843686219854,0.24626755167810593,0.11442786069651742
hmmsearch_out_C_1_swissprot.domtblout,385,0.9993581241621925,0.05974025974025974,1.0,0.9993580979840375,0.9996790489920188,0.24433974778389692,0.11274509803921569
hmmsearch_out_C_3_denoised1_uniref90.domtblout,310,0.999491109487705,0.07419354838709677,1.0,0.999491088733201,0.9997455443666006,0.2723156081725739,0.13813813813813813
hmmsearch_out_C_3_uniref90.domtblout,309,0.9994928826253786,0.0744336569579288,1.0,0.9994928619431899,0.9997464309715949,0.272756134335743,0.13855421686746988
hmmsearch_out_C_4_denoised1_uniref90.domtblout,218,0.9996506918783202,0.10091743119266056,0.9565217391304348,0.9996524508421861,0.9780870949863105,0.31063313883207966,0.1825726141078838
hmmsearch_out_C_4_uniref90.domtblout,229,0.9996311873639117,0.09606986899563319,0.9565217391304348,0.9996329455323087,0.9780773423313718,0.3030774805433849,0.1746031746031746
HMM_reference_search.domtblout,694,0.9988102246210805,0.03314121037463977,1.0,0.998810176097484,0.999405088048742,0.18193894077513398,0.06415620641562064
hmmsearch_out_M_1.domtblout,333,0.9994503273212145,0.06906906906906907,1.0,0.9994503049034575,0.9997251524517288,0.2627377059739981,0.12921348314606743
hmmsearch_out_M_4_denoised1_uniref90.domtblout,212,0.9996613307043613,0.10377358490566038,0.9565217391304348,0.9996630901021192,0.978092414616277,0.31500004996342174,0.18723404255319148
hmmsearch_out_M_4_uniref90.domtblout,224,0.9996400530522792,0.09821428571428571,0.9565217391304348,0.999641811582253,0.9780817753563439,0.3064428561347333,0.17813765182186234
hmmsearch_out_O_1.domtblout,352,0.999413091430071,0.0625,0.9565217391304348,0.9994148407036807,0.9779682899170578,0.2444265537413621,0.11733333333333333
hmmsearch_out_O_4_denoised1_uniref90.domtblout,224,0.9996400530522792,0.09821428571428571,0.9565217391304348,0.999641811582253,0.9780817753563439,0.3064428561347333,0.17813765182186234
hmmsearch_out_O_4_uniref90.domtblout,234,0.9996223216755442,0.09401709401709402,0.9565217391304348,0.9996240794823645,0.9780729093063997,0.29982053839033446,0.17120622568093385
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,157,0.9997588532764038,0.14012738853503184,0.9565217391304348,0.9997606166515057,0.9781411778909703,0.3660596305595816,0.24444444444444444
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,540,0.9990832878227998,0.04259259259259259,1.0,0.9990832504357664,0.9995416252178833,0.20628510816802498,0.08170515097690942
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,657,0.9988758307150001,0.0350076103500761,1.0,0.9988757848670713,0.9994378924335356,0.18699800604485833,0.06764705882352941
out_psiblast_C_1_swissprot_1iterations.xml,124,0.9998173668196293,0.1774193548387097,0.9565217391304348,0.9998191325811376,0.9781704358557862,0.4119122289614729,0.29931972789115646
out_psiblast_C_1_swissprot_2iterations.xml,513,0.9991311625399842,0.04483430799220273,1.0,0.9991311271054653,0.9995655635527326,0.21164912633234062,0.08582089552238806
out_psiblast_C_1_swissprot_3iterations.xml,600,0.9989768995623897,0.03833333333333333,1.0,0.9989768578364355,0.9994884289182178,0.1956888164503277,0.0738362760834671
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,287,0.9995283453788486,0.07665505226480836,0.9565217391304348,0.9995300993529557,0.9780259192416952,0.27071111460773367,0.14193548387096774
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,222,0.9996435993276261,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663327,0.3078207300207466,0.17959183673469387
out_psiblast_C_4_uniref90_1iterations.xml,222,0.9996435993276261,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663327,0.3078207300207466,0.17959183673469387
out_psiblast_M_1.xml,270,0.9995620349946451,0.08518518518518518,1.0,0.9995620171327549,0.9997810085663774,0.29180108898619794,0.15699658703071673
out_psiblast_M_3_uniref90_1iterations.xml,121,0.9998226862326498,0.18181818181818182,0.9565217391304348,0.9998244522111042,0.9781730956707695,0.41698852454366625,0.3055555555555556
out_psiblast_M_3_uniref90_2iterations.xml,514,0.9991258431269637,0.042801556420233464,0.9565217391304348,0.9991275806854876,0.9778246599079612,0.20224139595168308,0.08193668528864059
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,88,0.9998811997758754,0.25,0.9565217391304348,0.9998829681407362,0.9782023536355855,0.4889779961469861,0.3963963963963964
out_psiblast_M_4_uniref90_1iterations.xml,81,0.9998936117395899,0.2716049382716049,0.9565217391304348,0.9998953806106581,0.9782085598705464,0.5096723620781863,0.4230769230769231
out_psiblast_O_1.xml,174,0.9997322562113012,0.13218390804597702,1.0,0.9997322452916841,0.9998661226458421,0.3635223723269781,0.233502538071066
out_psiblast_O_3_uniref90_1iterations.xml,245,0.9996028171611356,0.08979591836734693,0.9565217391304348,0.9996045741724873,0.978063156651461,0.2930094611063365,0.16417910447761194
out_psiblast_O_3_uniref90_2iterations.xml,597,0.9989786727000631,0.03685092127303183,0.9565217391304348,0.9989804042564132,0.977751071693424,0.18764178167443704,0.07096774193548387
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,230,0.9996294142262382,0.09565217391304348,0.9565217391304348,0.9996311723223199,0.9780764557263774,0.3024176061199045,0.17391304347826086
